"agency","Program Name","Fiscal_Year"
"TREASURY","District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund","2021"
"TREASURY","District of Columbia Pensions - DC Judicial Retirement & Survivors Annuity Fund","2022"
"TREASURY","Financial Crimes Enforcement Network - Salaries and Expenses","2021"
"TREASURY","Financial Crimes Enforcement Network - Salaries and Expenses","2022"
"TREASURY","Fiscal Serivce Gulf Coast Restoration Trust Fund","2021"
"TREASURY","Fiscal Serivce Gulf Coast Restoration Trust Fund","2022"
"TREASURY","Fiscal Service - American Indian & Alaskan Native","2021"
"TREASURY","Fiscal Service - American Indian & Alaskan Native","2022"
"TREASURY","Fiscal Service - Check Forgery Insurance Fund","2021"
"TREASURY","Fiscal Service - Check Forgery Insurance Fund","2022"
"TREASURY","Fiscal Service - Cheyenne River Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund","2021"
"TREASURY","Fiscal Service - Cheyenne River Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund","2022"
"TREASURY","Fiscal Service - Claims for Contract Disputes","2021"
"TREASURY","Fiscal Service - Claims for Contract Disputes","2022"
"TREASURY","Fiscal Service - Claims for Damages","2021"
"TREASURY","Fiscal Service - Claims for Damages","2022"
"TREASURY","Fiscal Service - Corporation for Public Broadcasting","2021"
"TREASURY","Fiscal Service - Corporation for Public Broadcasting","2022"
"TREASURY","Fiscal Service - DC Water & Sewer","2021"
"TREASURY","Fiscal Service - DC Water & Sewer","2022"
"TREASURY","Fiscal Service - Debt Collection","2021"
"TREASURY","Fiscal Service - Debt Collection","2022"
"TREASURY","Fiscal Service - Debt Collection Special Fund","2021"
"TREASURY","Fiscal Service - Debt Collection Special Fund","2022"
"TREASURY","Fiscal Service - Emergency Planning & Security","2021"
"TREASURY","Fiscal Service - Emergency Planning & Security","2022"
"TREASURY","Fiscal Service - Federal Reserve Bank Reimbursement Fund","2021"
"TREASURY","Fiscal Service - Federal Reserve Bank Reimbursement Fund","2022"
"TREASURY","Fiscal Service - Financial Agent Services","2021"
"TREASURY","Fiscal Service - Financial Agent Services","2022"
"TREASURY","Fiscal Service - Fiscal Service Administrative Salaries and Expenses","2021"
"TREASURY","Fiscal Service - Fiscal Service Administrative Salaries and Expenses","2022"
"TREASURY","Fiscal Service - Guam World War II Claims Fund","2021"
"TREASURY","Fiscal Service - Guam World War II Claims Fund","2022"
"TREASURY","Fiscal Service - Interest on the Public Debt (indefinite)","2021"
"TREASURY","Fiscal Service - Interest on the Public Debt (indefinite)","2022"
"TREASURY","Fiscal Service - Interest on Uninvested Funds","2021"
"TREASURY","Fiscal Service - Interest on Uninvested Funds","2022"
"TREASURY","Fiscal Service - Judgements, Court of Claims","2021"
"TREASURY","Fiscal Service - Judgements, Court of Claims","2022"
"TREASURY","Fiscal Service - Judgements, U.S. Courts","2021"
"TREASURY","Fiscal Service - Judgements, U.S. Courts","2022"
"TREASURY","Fiscal Service - Payment to Legal Services Corporation","2021"
"TREASURY","Fiscal Service - Payment to Legal Services Corporation","2022"
"TREASURY","Fiscal Service - Payment to Resolution Funds Corporation","2021"
"TREASURY","Fiscal Service - Payment to Resolution Funds Corporation","2022"
"TREASURY","Fiscal Service - Refund Money Erroneously Received","2021"
"TREASURY","Fiscal Service - Refund Money Erroneously Received","2022"
"TREASURY","Fiscal Service - Reimbursements to Federal Reserve Banks","2021"
"TREASURY","Fiscal Service - Reimbursements to Federal Reserve Banks","2022"
"TREASURY","Fiscal Service - Resident Tuition Sup","2021"
"TREASURY","Fiscal Service - Resident Tuition Sup","2022"
"TREASURY","Fiscal Service - Restitution of Foregone Interest","2021"
"TREASURY","Fiscal Service - School Improvement","2021"
"TREASURY","Fiscal Service - School Improvement","2022"
"TREASURY","Fiscal Service - Travel Promotion Fund, Corp for Travel Promotion","2021"
"TREASURY","Fiscal Service - Travel Promotion Fund, Corp for Travel Promotion","2022"
"TREASURY","Internal Revenue Service - Additional Child Tax Credit","2021"
"TREASURY","Internal Revenue Service - Additional Child Tax Credit","2022"
"TREASURY","Internal Revenue Service - Additional Child Tax Credit","2023"
"TREASURY","Internal Revenue Service - Additional Child Tax Credit","2024"
"TREASURY","Internal Revenue Service - Additional Child Tax Credit","2025"
"TREASURY","Internal Revenue Service - American Opportunity Tax Credit","2021"
"TREASURY","Internal Revenue Service - American Opportunity Tax Credit","2022"
"TREASURY","Internal Revenue Service - American Opportunity Tax Credit","2023"
"TREASURY","Internal Revenue Service - American Opportunity Tax Credit","2024"
"TREASURY","Internal Revenue Service - American Opportunity Tax Credit","2025"
"TREASURY","Internal Revenue Service - Build American Bond Payments, Recovery Act","2021"
"TREASURY","Internal Revenue Service - Build American Bond Payments, Recovery Act","2022"
"TREASURY","Internal Revenue Service - Business Systems Modernization","2021"
"TREASURY","Internal Revenue Service - Business Systems Modernization","2022"
"TREASURY","Internal Revenue Service - Child and Dependent Care Tax Credit","2024"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","2021"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","2022"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","2023"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","2024"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","2025"
"TREASURY","Internal Revenue Service - Healthcare Credit Exceeds Liability","2021"
"TREASURY","Internal Revenue Service - Healthcare Credit Exceeds Liability","2022"
"TREASURY","Internal Revenue Service - Informant Reimbursement","2021"
"TREASURY","Internal Revenue Service - Informant Reimbursement","2022"
"TREASURY","Internal Revenue Service - Information Systems","2022"
"TREASURY","Internal Revenue Service - No Surprise Implementation Fund","2022"
"TREASURY","Internal Revenue Service - Operations Support","2021"
"TREASURY","Internal Revenue Service - Operations Support","2022"
"TREASURY","Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds","2021"
"TREASURY","Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds","2022"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond","2021"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond","2022"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds","2021"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds","2022"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds","2021"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds","2022"
"TREASURY","Internal Revenue Service - Payments to USVI and Puerto Rico for Disaster Tax Relief","2021"
"TREASURY","Internal Revenue Service - Private Collection Agent Program","2021"
"TREASURY","Internal Revenue Service - Private Collection Agent Program","2022"
"TREASURY","Internal Revenue Service - Refund - Corporations","2021"
"TREASURY","Internal Revenue Service - Refund - Corporations","2022"
"TREASURY","Internal Revenue Service - Refund Collection - Interest","2021"
"TREASURY","Internal Revenue Service - Refund Collection - Interest","2022"
"TREASURY","Internal Revenue Service - Refund-Corporations","2022"
"TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","2021"
"TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","2022"
"TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","2023"
"TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","2024"
"TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","2025"
"TREASURY","Internal Revenue Service - Small Business Insurance Tax Credit","2021"
"TREASURY","Internal Revenue Service - Small Business Insurance Tax Credit","2022"
"TREASURY","Internal Revenue Service - Special Compliance Personnel Program Account","2021"
"TREASURY","Internal Revenue Service - Special Compliance Personnel Program Account","2022"
"TREASURY","Internal Revenue Service - Tax Law Enforcement","2021"
"TREASURY","Internal Revenue Service - Tax Law Enforcement","2022"
"TREASURY","Internal Revenue Service - Taxpayer Services- Tax Counseling for the Elderly","2021"
"TREASURY","Internal Revenue Service - Taxpayer Services- Tax Counseling for the Elderly","2022"
"TREASURY","Internal Revenue Service - US Coronavirus Payments","2021"
"TREASURY","Internal Revenue Service - US Coronavirus Payments","2022"
"TREASURY","Internal Revenue Service - US Coronavirus Payments","2024"
"TREASURY","Internal Revenue Service - US Coronavirus Payments","2025"
"TREASURY","Internal Revenue Service - US Coronavirus Refundable Credits","2021"
"TREASURY","Internal Revenue Service - US Coronavirus Refundable Credits","2022"
"TREASURY","Internal Revenue Service - US Coronavirus Refundable Credits","2024"
"TREASURY","Internal Revenue Service - US Coronavirus Refundable Credits","2025"
"TREASURY","Office of Financial Stability - Home Affordable Modification Program","2021"
"TREASURY","Office of Financial Stability - Home Affordable Modification Program","2022"
"TREASURY","Office of Financial Stability - Salaries and Expenses","2021"
"TREASURY","Office of Financial Stability - Salaries and Expenses","2022"
"TREASURY","Office of Financial Stability - Troubled Assets Relief Program Direct Loan Financing Account","2021"
"TREASURY","Office of Financial Stability - Troubled Assets Relief Program Direct Loan Financing Account","2022"
"TREASURY","Office of International Assistance - Contribution International Development Association","2021"
"TREASURY","Office of International Assistance - Contribution to African Development Bank","2021"
"TREASURY","Office of International Assistance - Contribution to African Development Bank","2022"
"TREASURY","Office of International Assistance - Contribution to African Development Fund","2021"
"TREASURY","Office of International Assistance - Contribution to African Development Fund","2022"
"TREASURY","Office of International Assistance - Contribution to European Bank for Reconstruction","2021"
"TREASURY","Office of International Assistance - Contribution to European Bank for Reconstruction","2022"
"TREASURY","Office of International Assistance - Contribution to Inter-Amer Development","2021"
"TREASURY","Office of International Assistance - Contribution to Inter-Amer Development","2022"
"TREASURY","Office of International Assistance - Contribution to International Bank Reconstruction","2021"
"TREASURY","Office of International Assistance - Contribution to International Bank Reconstruction","2022"
"TREASURY","Office of International Assistance - Contribution to International Development Association","2021"
"TREASURY","Office of International Assistance - Contribution to International Development Association","2022"
"TREASURY","Office of International Assistance - Contribution to the Asian Development Fund","2021"
"TREASURY","Office of International Assistance - Contribution to the Asian Development Fund","2022"
"TREASURY","Office of International Assistance - Global Environment Facility","2021"
"TREASURY","Office of International Assistance - Global Environment Facility","2022"
"TREASURY","Office of International Assistance - Global Food Security Fund","2021"
"TREASURY","Office of International Assistance - International Fund for Agriculture Development","2021"
"TREASURY","Office of International Assistance - International Fund for Agriculture Development","2022"
"TREASURY","Office of the Comptroller of the Currency - Assessment Funds","2021"
"TREASURY","Office of the Comptroller of the Currency - Assessment Funds","2022"
"TREASURY","Office of the Inspector General - Salaries and Expenses","2021"
"TREASURY","Office of the Inspector General - Salaries and Expenses","2022"
"TREASURY","Special Inspector General for Pandemic Recovery","2022"
"TREASURY","Special Inspector General for Troubled Asset Relief Program","2021"
"TREASURY","Special Inspector General for Troubled Asset Relief Program","2022"
"TREASURY","The Mint - United States Mint Public Enterprise Fund","2021"
"TREASURY","The Mint - United States Mint Public Enterprise Fund","2022"
"TREASURY","Treasury Franchise Fund","2021"
"TREASURY","Treasury Franchise Fund","2022"
"TREASURY","Treasury Inspector General for Tax Administration","2021"
"TREASURY","Treasury Inspector General for Tax Administration","2022"
"USAGM","Domestic Payroll","2021"
"USAGM","Domestic Payroll","2022"
"USAGM","International Broadcasting Bureau (IBB)","2021"
"USAGM","International Broadcasting Bureau (IBB)","2022"
"USAGM","Middle East Broadcasting Networks (MBN/MN)","2021"
"USAGM","Middle East Broadcasting Networks (MBN/MN)","2022"
"USAGM","Office of Cuba Broadcasting (OCB)","2021"
"USAGM","Office of Cuba Broadcasting (OCB)","2022"
"USAGM","Open Technology Fund (OTF)","2021"
"USAGM","Open Technology Fund (OTF)","2022"
"USAGM","Overseas Payroll","2022"
"USAGM","Radio Free Asia (RFA)","2021"
"USAGM","Radio Free Asia (RFA)","2022"
"USAGM","Radio Free Europe (RFE/RL)","2021"
"USAGM","Radio Free Europe (RFE/RL)","2022"
"USAGM","Technology, Services and Innovation (TSI)","2021"
"USAGM","Technology, Services and Innovation (TSI)","2022"
"USAGM","Voice of America (VOA)","2022"
"USAID","A01 Counter-Terrorism","2021"
"USAID","A01 Counter-Terrorism","2022"
"USAID","A02 Combating Weapons of Mass Destruction (WMD)","2021"
"USAID","A02 Combating Weapons of Mass Destruction (WMD)","2022"
"USAID","A03 Stabilization Operations and Security Sector Reform","2021"
"USAID","A03 Stabilization Operations and Security Sector Reform","2022"
"USAID","A04 Counter-Narcotics","2021"
"USAID","A04 Counter-Narcotics","2022"
"USAID","A05 Transnational Crime","2021"
"USAID","A05 Transnational Crime","2022"
"USAID","A06 Conflict Mitigation and Reconciliation","2021"
"USAID","A06 Conflict Mitigation and Reconciliation","2022"
"USAID","A07 Rule of Law and Human Rights","2021"
"USAID","A07 Rule of Law and Human Rights","2022"
"USAID","A08 Good Governance","2021"
"USAID","A08 Good Governance","2022"
"USAID","A09 Political Competition and Consensus-Building","2021"
"USAID","A09 Political Competition and Consensus-Building","2022"
"USAID","A10 Civil Society","2021"
"USAID","A10 Civil Society","2022"
"USAID","A11 Health","2021"
"USAID","A11 Health","2022"
"USAID","A12 Education","2021"
"USAID","A12 Education","2022"
"USAID","A13 Social and Economic Services and Protection for Vulnerable Populations","2021"
"USAID","A13 Social and Economic Services and Protection for Vulnerable Populations","2022"
"USAID","A14 Macroeconomic Foundation for Growth","2021"
"USAID","A14 Macroeconomic Foundation for Growth","2022"
"USAID","A15 Trade and Investment","2021"
"USAID","A15 Trade and Investment","2022"
"USAID","A16 Financial Sector","2021"
"USAID","A16 Financial Sector","2022"
"USAID","A17 Infrastructure","2021"
"USAID","A17 Infrastructure","2022"
"USAID","A18 Agriculture","2021"
"USAID","A18 Agriculture","2022"
"USAID","A19 Private Sector Competitiveness","2021"
"USAID","A19 Private Sector Competitiveness","2022"
"USAID","A20 Economic Opportunity","2021"
"USAID","A20 Economic Opportunity","2022"
"USAID","A21 Environment","2021"
"USAID","A21 Environment","2022"
"USAID","A22 Protection, Assistance and Solutions","2021"
"USAID","A22 Protection, Assistance and Solutions","2022"
"USAID","A23 Disaster Readiness","2021"
"USAID","A23 Disaster Readiness","2022"
"USAID","A24 Migration Management","2021"
"USAID","A24 Migration Management","2022"
"USAID","A25 Crosscutting Management and Staffing","2021"
"USAID","A25 Crosscutting Management and Staffing","2022"
"USAID","A26 Program Design and Learning","2021"
"USAID","A26 Program Design and Learning","2022"
"USAID","A27 Administration and Oversight","2021"
"USAID","A27 Administration and Oversight","2022"
"USAID","DR.1 Democracy, Human Rights and Governance/Rule of Law (ROL)","2021"
"USAID","DR.1 Democracy, Human Rights and Governance/Rule of Law (ROL)","2022"
"USAID","DR.2 Democracy, Human Rights and Governance/Good Governance","2021"
"USAID","DR.2 Democracy, Human Rights and Governance/Good Governance","2022"
"USAID","DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building","2021"
"USAID","DR.3 Democracy, Human Rights and Governance/Political Competition and Consensus-Building","2022"
"USAID","DR.4 Democracy, Human Rights and Governance/Civil Society","2021"
"USAID","DR.4 Democracy, Human Rights and Governance/Civil Society","2022"
"USAID","DR.5 Democracy, Human Rights and Governance/Independent Media and Free Flow of Information","2021"
"USAID","DR.5 Democracy, Human Rights and Governance/Independent Media and Free Flow of Information","2022"
"USAID","DR.6 Democracy, Human Rights and Governance/Human Rights","2021"
"USAID","DR.6 Democracy, Human Rights and Governance/Human Rights","2022"
"USAID","EG.1 Economic Growth/Macroeconomic Foundation for Growth","2021"
"USAID","EG.1 Economic Growth/Macroeconomic Foundation for Growth","2022"
"USAID","EG.10 Economic Growth/Environment","2022"
"USAID","EG.11 Economic Growth/Climate Change – Adaptation","2022"
"USAID","EG.12 Economic Growth/Climate Change – Clean Energy","2022"
"USAID","EG.13 Economic Growth/Climate Change – Sustainable Landscapes","2022"
"USAID","EG.2 Economic Growth/Trade and Investment","2021"
"USAID","EG.2 Economic Growth/Trade and Investment","2022"
"USAID","EG.3 Economic Growth/Agriculture","2021"
"USAID","EG.3 Economic Growth/Agriculture","2022"
"USAID","EG.4 Economic Growth/Financial Sector","2021"
"USAID","EG.4 Economic Growth/Financial Sector","2022"
"USAID","EG.5 Economic Growth/Private Sector Productivity","2022"
"USAID","EG.6 Economic Growth/Workforce Development","2021"
"USAID","EG.6 Economic Growth/Workforce Development","2022"
"USAID","EG.7 Economic Growth/Modern Energy Services","2021"
"USAID","EG.7 Economic Growth/Modern Energy Services","2022"
"USAID","EG.8 Economic Growth/Information and Communications Technology Services","2021"
"USAID","EG.8 Economic Growth/Information and Communications Technology Services","2022"
"USAID","EG.9 Economic Growth/Transport Services","2021"
"USAID","EG.9 Economic Growth/Transport Services","2022"
"USAID","ES.1 Education and Social Services/Basic Education","2021"
"USAID","ES.1 Education and Social Services/Basic Education","2022"
"USAID","ES.2 Education and Social Services/Higher Education","2021"
"USAID","ES.2 Education and Social Services/Higher Education","2022"
"USAID","ES.3 Education and Social Services//Social Policies, Regulations, and Systems","2021"
"USAID","ES.3 Education and Social Services//Social Policies, Regulations, and Systems","2022"
"USAID","ES.4 Education and Social Services/Social Services","2021"
"USAID","ES.4 Education and Social Services/Social Services","2022"
"USAID","ES.5 Education and Social Services/Social Assistance","2021"
"USAID","ES.5 Education and Social Services/Social Assistance","2022"
"USAID","HA.1 Humanitarian Assistance/Protection, Assistance and Solutions","2021"
"USAID","HA.1 Humanitarian Assistance/Protection, Assistance and Solutions","2022"
"USAID","HA.2 Humanitarian Assistance/Disaster Readiness","2021"
"USAID","HA.2 Humanitarian Assistance/Disaster Readiness","2022"
"USAID","HA.3 Humanitarian Assistance/Migration Management","2021"
"USAID","HA.3 Humanitarian Assistance/Migration Management","2022"
"USAID","HL.1 Health/HIV/AIDS","2021"
"USAID","HL.1 Health/HIV/AIDS","2022"
"USAID","HL.2 Health/Tuberculosis","2021"
"USAID","HL.2 Health/Tuberculosis","2022"
"USAID","HL.3 Health/Malaria","2021"
"USAID","HL.3 Health/Malaria","2022"
"USAID","HL.4 Health/Pandemic Influenza and Other Emerging Threats (PIOET)","2021"
"USAID","HL.4 Health/Pandemic Influenza and Other Emerging Threats (PIOET)","2022"
"USAID","HL.5 Health/Other Public Health Threats","2021"
"USAID","HL.5 Health/Other Public Health Threats","2022"
"USAID","HL.6 Health/Maternal and Child Health","2021"
"USAID","HL.6 Health/Maternal and Child Health","2022"
"USAID","HL.7 Health/Family Planning and Reproductive Health","2021"
"USAID","HL.7 Health/Family Planning and Reproductive Health","2022"
"USAID","HL.8 Health/Water Supply and Sanitation","2021"
"USAID","HL.8 Health/Water Supply and Sanitation","2022"
"USAID","HL.9 Health/Nutrition","2021"
"USAID","HL.9 Health/Nutrition","2022"
"USAID","Legacy Strategic Objective","2021"
"USAID","Legacy Strategic Objective","2022"
"USAID","OE Operating Expense","2021"
"USAID","OE Operating Expense","2022"
"USAID","PO.1 Program Development and Oversight/Program Design and Learning","2021"
"USAID","PO.1 Program Development and Oversight/Program Design and Learning","2022"
"USAID","PO.2 Program Development and Oversight/Administration and Oversight","2021"
"USAID","PO.2 Program Development and Oversight/Administration and Oversight","2022"
"USAID","PO.3 Program Development and Oversight/Evaluation","2021"
"USAID","PO.3 Program Development and Oversight/Evaluation","2022"
"USAID","PS.1 Peace and Security/Counter-Terrorism","2021"
"USAID","PS.1 Peace and Security/Counter-Terrorism","2022"
"USAID","PS.2 Peace and Security/Combating Weapons of Mass Destruction (WMD)","2022"
"USAID","PS.3 Peace and Security/Counter-Narcotics","2021"
"USAID","PS.3 Peace and Security/Counter-Narcotics","2022"
"USAID","PS.4 Peace and Security/Transnational Threats and Crime","2022"
"USAID","PS.5 Peace and Security/Trafficking in Persons","2021"
"USAID","PS.5 Peace and Security/Trafficking in Persons","2022"
"USAID","PS.6 Peace and Security/Conflict Mitigation and Stabilization","2021"
"USAID","PS.6 Peace and Security/Conflict Mitigation and Stabilization","2022"
"USAID","PS.7 Peace and Security/Conventional Weapons Security and Explosive Remnants of War (ERW)","2021"
"USAID","PS.7 Peace and Security/Conventional Weapons Security and Explosive Remnants of War (ERW)","2022"
"USAID","PS.8 Peace and Security/Strengthening Military Partnerships and Capabilities","2021"
"USAID","PS.8 Peace and Security/Strengthening Military Partnerships and Capabilities","2022"
"USAID","PS.9 Peace and Security/Citizen Security and Law Enforcement","2021"
"USAID","PS.9 Peace and Security/Citizen Security and Law Enforcement","2022"
"USDA","Agricultural Conservation Easement Program","2021"
"USDA","Agricultural Conservation Easement Program","2022"
"USDA","Agricultural Marketing Service (AMS) - Market Protection and Promotion","2021"
"USDA","Agricultural Marketing Service (AMS) - Market Protection and Promotion","2022"
"USDA","Agricultural Marketing Service (AMS) Commodity Purchase Program","2021"
"USDA","Agricultural Marketing Service (AMS) Commodity Purchase Program","2022"
"USDA","Agricultural Marketing Service (AMS) Salaries and Expenses","2022"
"USDA","Agricultural Research Service (ARS) Hurricane Harvey - Buildings and Facilities","2021"
"USDA","Agricultural Research Service (ARS) Hurricane Harvey - Buildings and Facilities","2022"
"USDA","Agriculture Research Service (ARS) Buildings and Facilities","2021"
"USDA","Agriculture Research Service (ARS) Buildings and Facilities","2022"
"USDA","Agriculture Risk/Price Loss Coverage Program","2025"
"USDA","Agriculture Wool Apparel Manufacturers Trust Fund","2021"
"USDA","Agriculture Wool Apparel Manufacturers Trust Fund","2022"
"USDA","Animal and Plant Health Inspection Service (APHIS) Buildings and Facilities","2021"
"USDA","Animal and Plant Health Inspection Service (APHIS) Buildings and Facilities","2022"
"USDA","Animal and Plant Health Inspection Service (APHIS) Trust Funds","2021"
"USDA","Animal and Plant Health Inspection Service (APHIS) Trust Funds","2022"
"USDA","Biomass Crop Assistance Program","2021"
"USDA","Biomass Crop Assistance Program","2022"
"USDA","CNMI Nutrition Assistance","2021"
"USDA","CNMI Nutrition Assistance","2022"
"USDA","Commodity Credit Corporation (CCC) Administrative Contracts","2021"
"USDA","Commodity Credit Corporation (CCC) Administrative Contracts","2022"
"USDA","Commodity Credit Corporation (CCC) Agriculture Risk Coverage and Price Loss Coverage (ARC/PLC)","2021"
"USDA","Commodity Credit Corporation (CCC) Agriculture Risk Coverage and Price Loss Coverage (ARC/PLC)","2022"
"USDA","Commodity Credit Corporation (CCC) Agriculture Risk Coverage and Price Loss Coverage (ARC/PLC)","2023"
"USDA","Commodity Credit Corporation (CCC) Agriculture Risk Coverage and Price Loss Coverage (ARC/PLC)","2024"
"USDA","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","2021"
"USDA","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","2022"
"USDA","Commodity Credit Corporation (CCC) Emergency Forestry Conservation Reserve Program (EFCRP)","2021"
"USDA","Commodity Credit Corporation (CCC) Emergency Forestry Conservation Reserve Program (EFCRP)","2022"
"USDA","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","2021"
"USDA","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","2022"
"USDA","Commodity Credit Corporation (CCC) Feed Stock Flexibility Program (FFP)","2021"
"USDA","Commodity Credit Corporation (CCC) Feed Stock Flexibility Program (FFP)","2022"
"USDA","Commodity Credit Corporation (CCC) Hazardous Waste Activities","2021"
"USDA","Commodity Credit Corporation (CCC) Hazardous Waste Activities","2022"
"USDA","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","2025"
"USDA","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","2021"
"USDA","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","2022"
"USDA","Commodity Credit Corporation (CCC) Public Law 480","2021"
"USDA","Commodity Credit Corporation (CCC) Public Law 480","2022"
"USDA","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","2021"
"USDA","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","2022"
"USDA","Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA)","2021"
"USDA","Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA)","2022"
"USDA","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP)","2021"
"USDA","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP)","2022"
"USDA","Commodity Credit Corporation Seafood Trade Relief Program (STRP)","2022"
"USDA","Commodity Loans and Loan Deficiency Payments","2021"
"USDA","Commodity Loans and Loan Deficiency Payments","2022"
"USDA","Commodity Supplemental Food Program","2021"
"USDA","Commodity Supplemental Food Program","2022"
"USDA","Community Facilities Community Program Grants; Rural Community Development Initiative Grants; Community Facilities Direct Loans","2021"
"USDA","Community Facilities Community Program Grants; Rural Community Development Initiative Grants; Community Facilities Direct Loans","2022"
"USDA","Community Food Projects","2021"
"USDA","Community Food Projects","2022"
"USDA","Conservation Outreach, Education and Technical Assistance","2021"
"USDA","Conservation Outreach, Education and Technical Assistance","2022"
"USDA","Conservation Reserve Program","2021"
"USDA","Conservation Reserve Program","2022"
"USDA","Cooperative State Food Safety & Inspection","2022"
"USDA","Coronavirus Food Assistance Program 2","2021"
"USDA","Coronavirus Food Assistance Program 2","2022"
"USDA","Coronavirus Food Assistance Program 2","2023"
"USDA","Coronavirus Food Assistance Program 2","2024"
"USDA","Dairy Indemnity Program","2021"
"USDA","Dairy Indemnity Program","2022"
"USDA","Dairy Margin Coverage Program","2021"
"USDA","Dairy Margin Coverage Program","2022"
"USDA","Department Administration (DA) Agriculture Buildings and Facilities","2022"
"USDA","Department Administration (DA) Biobased Markets Program","2022"
"USDA","Department Administration (DA) Hazardous Materials Management","2022"
"USDA","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","2021"
"USDA","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","2022"
"USDA","Emergency Conservation Program","2021"
"USDA","Emergency Conservation Program","2022"
"USDA","Emergency Conservation Program","2023"
"USDA","Emergency Conservation Program","2024"
"USDA","Emergency Conservation Program","2025"
"USDA","Emergency Food Assistance Program (Food Commodities)","2021"
"USDA","Emergency Food Assistance Program (Food Commodities)","2022"
"USDA","Emergency Watershed Protection Program – Disaster Relief Appropriations Act","2021"
"USDA","Emergency Watershed Protection Program – Disaster Relief Appropriations Act","2022"
"USDA","Export Guarantee Program","2021"
"USDA","Export Guarantee Program","2022"
"USDA","Extension Activities","2021"
"USDA","Extension Activities","2022"
"USDA","Farm Service Agency (FSA) Emergency Forest Restoration Program","2021"
"USDA","Farm Service Agency (FSA) Emergency Forest Restoration Program","2022"
"USDA","Farm Service Agency (FSA) Grassroots Source Water Protection Program","2021"
"USDA","Farm Service Agency (FSA) Grassroots Source Water Protection Program","2022"
"USDA","Farm Service Agency (FSA) Salaries and Expenses","2021"
"USDA","Farm Service Agency (FSA) Salaries and Expenses","2022"
"USDA","Farm Storage Facility Loans","2021"
"USDA","Farm Storage Facility Loans","2022"
"USDA","Federal Crop Insurance Corporation (FCIC)","2021"
"USDA","Federal Crop Insurance Corporation (FCIC)","2022"
"USDA","Federal Crop Insurance Corporation (FCIC)","2023"
"USDA","Federal Crop Insurance Corporation (FCIC)","2024"
"USDA","Federal Crop Insurance Corporation (FCIC)","2025"
"USDA","FNS Hurricane Harvey - Commodity Assistance Program","2021"
"USDA","FNS Hurricane Harvey - SNAP","2021"
"USDA","FNS Hurricane Harvey - WIC","2021"
"USDA","FNS Hurricane Sandy - Commodity Assistance Program","2021"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program","2021"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program","2022"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program","2023"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program","2024"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program","2025"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program (CACFP) Centers","2024"
"USDA","Food and Nutrition Service (FNS) National School Lunch Program (NSLP)","2021"
