"Agency","Fiscal_Year","Program_Name","in_draft","Was_the_Program_or_Activity_Susceptible_to_Significant_Improper_","raa6_2","raa7_2"
"USDA","2021","CCC TobaccoTransition Payment Program (TTPP)","","","No",""
"USDA","2025","Child Nutrition Discretionary Grants Limited Availability","","","No",""
"USDA","2025","Child Nutrition-Technology Innovation Grant","","","No",""
"USDA","2019","CNMI Nutrition Assistance","","No","Yes","No"
"USDA","2020","CNMI Nutrition Assistance","","","No","No"
"USDA","2021","CNMI Nutrition Assistance","","","No","No"
"USDA","2022","CNMI Nutrition Assistance","0","No","Yes","No"
"USDA","2023","CNMI Nutrition Assistance","0","","No","No"
"USDA","2024","CNMI Nutrition Assistance","0","","No","No"
"USDA","2025","CNMI Nutrition Assistance","0","","Yes","No"
"USDA","2025","Cochran Fellowship Program","","","No",""
"USDA","2018","Commodity Credit Corporation (CCC) Administrative Contracts","","","No",""
"USDA","2019","Commodity Credit Corporation (CCC) Administrative Contracts","","No","Yes","No"
"USDA","2020","Commodity Credit Corporation (CCC) Administrative Contracts","","","No","No"
"USDA","2021","Commodity Credit Corporation (CCC) Administrative Contracts","","","No","No"
"USDA","2022","Commodity Credit Corporation (CCC) Administrative Contracts","","","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Administrative Contracts","0","","Yes","No"
"USDA","2024","Commodity Credit Corporation (CCC) Administrative Contracts","0","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) Administrative Contracts","","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) Bill Emerson Humanitarian Trust Program","","","No",""
"USDA","2021","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","","Yes","Yes","Yes"
"USDA","2022","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","","","Yes","Yes"
"USDA","2023","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","0","","Yes","Yes"
"USDA","2024","Commodity Credit Corporation (CCC) Coronavirus Food Assistance Program (CFAP)","0","","Yes","Yes"
"USDA","2025","Commodity Credit Corporation (CCC) Cotton Transition Assistance Program","","","No",""
"USDA","2017","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","","","No",""
"USDA","2021","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","","","No",""
"USDA","2022","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","","","No",""
"USDA","2023","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","0","","Yes","No"
"USDA","2024","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","0","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) Economic Adjustment Assistance for Upland Cotton (EAAP)","","","No","No"
"USDA","2019","Commodity Credit Corporation (CCC) Emergency Forestry Conservation Reserve Program (EFCRP)","","No","Yes","No"
"USDA","2020","Commodity Credit Corporation (CCC) Emergency Forestry Conservation Reserve Program (EFCRP)","","","No","No"
"USDA","2021","Commodity Credit Corporation (CCC) Emergency Forestry Conservation Reserve Program (EFCRP)","","","No","No"
"USDA","2022","Commodity Credit Corporation (CCC) Emergency Forestry Conservation Reserve Program (EFCRP)","","","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Emergency Forestry Conservation Reserve Program (EFCRP)","","","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Emergency Livestock Relief Program (ELRP)","","","No",""
"USDA","2024","Commodity Credit Corporation (CCC) Emergency Livestock Relief Program (ELRP)","","","No",""
"USDA","2023","Commodity Credit Corporation (CCC) Emergency Relief Program (ERP)","","","Yes","No"
"USDA","2024","Commodity Credit Corporation (CCC) Emergency Relief Program (ERP)","","","No","No"
"USDA","2019","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","","No","Yes","No"
"USDA","2020","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","","","No","No"
"USDA","2021","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","","","No","No"
"USDA","2022","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","","","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","","","No","No"
"USDA","2024","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) Export 416 Ocean Transportation","","","No","No"
"USDA","2017","Commodity Credit Corporation (CCC) Feed Stock Flexibility Program (FFP)","","","No",""
"USDA","2021","Commodity Credit Corporation (CCC) Feed Stock Flexibility Program (FFP)","","","No",""
"USDA","2022","Commodity Credit Corporation (CCC) Feed Stock Flexibility Program (FFP)","","","No",""
"USDA","2023","Commodity Credit Corporation (CCC) Feed Stock Flexibility Program (FFP)","","","No",""
"USDA","2024","Commodity Credit Corporation (CCC) Feedstock Flexibility Program","","","No",""
"USDA","2025","Commodity Credit Corporation (CCC) Feedstock Flexibility Program","","","No",""
"USDA","2019","Commodity Credit Corporation (CCC) Hazardous Waste Activities","","No","Yes","No"
"USDA","2020","Commodity Credit Corporation (CCC) Hazardous Waste Activities","","","No","No"
"USDA","2021","Commodity Credit Corporation (CCC) Hazardous Waste Activities","","","No","No"
"USDA","2022","Commodity Credit Corporation (CCC) Hazardous Waste Activities","","","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Hazardous Waste Activities","","","No","No"
"USDA","2024","Commodity Credit Corporation (CCC) Hazardous Waste Activities","","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) Hazardous Waste Activities","","","No","No"
"USDA","2017","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","","","No",""
"USDA","2018","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","","","No",""
"USDA","2019","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","","","No",""
"USDA","2020","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","","","Yes","Yes"
"USDA","2021","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","","","Yes","Yes"
"USDA","2022","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","","","Yes","Yes"
"USDA","2023","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","0","","Yes","Yes"
"USDA","2024","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","0","","Yes","Yes"
"USDA","2025","Commodity Credit Corporation (CCC) Livestock Forage Disaster Program","0","","Yes","Yes"
"USDA","2017","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","","","No",""
"USDA","2018","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","","","No",""
"USDA","2019","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","","","No",""
"USDA","2020","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","","","No",""
"USDA","2021","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","","No","Yes","No"
"USDA","2022","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","","","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","0","","Yes","No"
"USDA","2024","Commodity Credit Corporation (CCC) Marketing Assistance Loan (MAL)","0","","No","No"
"USDA","2021","Commodity Credit Corporation (CCC) Marketing Programs","","","Yes","No"
"USDA","2022","Commodity Credit Corporation (CCC) Marketing Programs","","","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Marketing Programs","","","No","No"
"USDA","2024","Commodity Credit Corporation (CCC) Marketing Programs","","","Yes","No"
"USDA","2025","Commodity Credit Corporation (CCC) Oriental Fruit Fly Program","","","No",""
"USDA","2019","Commodity Credit Corporation (CCC) Public Law 480","","No","Yes","No"
"USDA","2020","Commodity Credit Corporation (CCC) Public Law 480","","","No","No"
"USDA","2021","Commodity Credit Corporation (CCC) Public Law 480","","","No","No"
"USDA","2022","Commodity Credit Corporation (CCC) Public Law 480","0","No","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Public Law 480","0","","No","No"
"USDA","2024","Commodity Credit Corporation (CCC) Public Law 480","0","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) Public Law 480","0","","Yes","No"
"USDA","2022","Commodity Credit Corporation (CCC) Public Law 481","","","Yes","No"
"USDA","2016","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","","","Yes","No"
"USDA","2017","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","","","No","No"
"USDA","2018","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","","","No","No"
"USDA","2019","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","","","No","No"
"USDA","2020","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","","","No","No"
"USDA","2021","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","","","No","No"
"USDA","2022","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","","","No","No"
"USDA","2023","Commodity Credit Corporation (CCC) Supplemental Revenue Assistance Payments Program (SURE)","","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) The Margin Protection Program","","","No",""
"USDA","2017","Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA)","","","No",""
"USDA","2021","Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA)","","","No",""
"USDA","2022","Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA)","","","No",""
"USDA","2023","Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA)","","","No",""
"USDA","2024","Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA)","","","No",""
"USDA","2025","Commodity Credit Corporation (CCC) Trade Adjustment Assistance Program (TAA)","","","No",""
"USDA","2020","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP)","","YES","Yes","No"
"USDA","2021","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP)","","","Yes","Yes"
"USDA","2022","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP)","","","Yes","No"
"USDA","2023","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP)","","","No","No"
"USDA","2024","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP)","","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP)","","","No","No"
"USDA","2025","Commodity Credit Corporation (CCC) Trade Mitigation Program (TMP/FPD)","","","No",""
"USDA","2022","Commodity Credit Corporation Seafood Trade Relief Program (STRP)","0","No","Yes","No"
"USDA","2023","Commodity Credit Corporation Seafood Trade Relief Program (STRP)","","","No","No"
"USDA","2017","Commodity Loans and Loan Deficiency Payments","","","Yes","No"
"USDA","2018","Commodity Loans and Loan Deficiency Payments","","","No","No"
"USDA","2019","Commodity Loans and Loan Deficiency Payments","","","No","No"
"USDA","2020","Commodity Loans and Loan Deficiency Payments","","","No","No"
"USDA","2021","Commodity Loans and Loan Deficiency Payments","","","No","No"
"USDA","2022","Commodity Loans and Loan Deficiency Payments","","","No","No"
"USDA","2023","Commodity Loans and Loan Deficiency Payments","","","No","No"
"USDA","2024","Commodity Loans and Loan Deficiency Payments","","","No","No"
"USDA","2025","Commodity Loans and Loan Deficiency Payments","","","No","No"
"USDA","2017","Commodity Supplemental Food Program","","","No",""
"USDA","2021","Commodity Supplemental Food Program","","","No",""
"USDA","2022","Commodity Supplemental Food Program","","","No",""
"USDA","2023","Commodity Supplemental Food Program","0","","Yes","No"
"USDA","2024","Commodity Supplemental Food Program","0","","No","No"
"USDA","2025","Commodity Supplemental Food Program","","","No","No"
"USDA","2019","Community Facilities Community Program Grants; Rural Community Development Initiative Grants; Community Facilities Direct Loans","","No","Yes","No"
"USDA","2021","Community Facilities Community Program Grants; Rural Community Development Initiative Grants; Community Facilities Direct Loans","","","No","No"
"USDA","2022","Community Facilities Community Program Grants; Rural Community Development Initiative Grants; Community Facilities Direct Loans","","","No","No"
"USDA","2023","Community Facilities Community Program Grants; Rural Community Development Initiative Grants; Community Facilities Direct Loans","0","","No","No"
"USDA","2025","Community Facilities Community Program Grants; Rural Community Development Initiative Grants; Community Facilities Direct Loans","","","No","No"
"USDA","2019","Community Food Projects","","No","Yes","No"
"USDA","2020","Community Food Projects","","","No","No"
"USDA","2021","Community Food Projects","","","No","No"
"USDA","2022","Community Food Projects","","","No","No"
"USDA","2023","Community Food Projects","","","No","No"
"USDA","2024","Community Food Projects","","","No","No"
"USDA","2025","Community Food Projects","0","","Yes","No"
"USDA","2018","Conservation Loans","","","No",""
"USDA","2021","Conservation Loans","","No","No",""
"USDA","2022","Conservation Loans","","","No",""
"USDA","2023","Conservation Loans","0","","No",""
"USDA","2024","Conservation Loans","0","","Yes","No"
"USDA","2025","Conservation Loans","","","No","No"
"USDA","2019","Conservation Outreach, Education and Technical Assistance","","No","No",""
"USDA","2021","Conservation Outreach, Education and Technical Assistance","","","No",""
"USDA","2022","Conservation Outreach, Education and Technical Assistance","0","No","No",""
"USDA","2023","Conservation Outreach, Education and Technical Assistance","0","","No",""
"USDA","2024","Conservation Outreach, Education and Technical Assistance","0","","No",""
"USDA","2025","Conservation Outreach, Education and Technical Assistance","0","","Yes","No"
"USDA","2013","Conservation Reserve Program","","","Yes","No"
"USDA","2017","Conservation Reserve Program","","","No","No"
"USDA","2018","Conservation Reserve Program","","","No","No"
"USDA","2019","Conservation Reserve Program","","","No","No"
"USDA","2020","Conservation Reserve Program","","","No","No"
"USDA","2021","Conservation Reserve Program","","","No","No"
"USDA","2022","Conservation Reserve Program","","","No","No"
"USDA","2023","Conservation Reserve Program","0","","Yes","No"
"USDA","2024","Conservation Reserve Program","0","","No","No"
"USDA","2025","Conservation Reserve Program","0","","Yes","No"
"USDA","2024","Conservation Stewardship Program","","","Yes","No"
"USDA","2025","Conservation Stewardship Program","","","No","No"
"USDA","2018","Cooperative State Food Safety & Inspection","","","No",""
"USDA","2021","Cooperative State Food Safety & Inspection","","","No",""
"USDA","2022","Cooperative State Food Safety & Inspection","","","No",""
"USDA","2023","Cooperative State Food Safety & Inspection","0","","No",""
"USDA","2024","Cooperative State Food Safety & Inspection","","","No",""
"USDA","2025","Cooperative State Food Safety & Inspection","","","No",""
"USDA","2025","Coronavirus Food Assistance Program (CFAP) Training Grants","","","No",""
"USDA","2025","Coronavirus Food Assistance Program 1","","","No",""
"USDA","2025","Coronavirus Food Assistance Program 2","","","No",""
"USDA","2025","Cotton and Wool Apparel Program","","","No",""
"USDA","2019","Dairy Indemnity Program","","No","Yes","No"
"USDA","2020","Dairy Indemnity Program","","","No","No"
"USDA","2021","Dairy Indemnity Program","","","No","No"
"USDA","2022","Dairy Indemnity Program","","","No","No"
"USDA","2023","Dairy Indemnity Program","","","No","No"
"USDA","2024","Dairy Indemnity Program","","","No","No"
"USDA","2025","Dairy Indemnity Program","","","No","No"
"USDA","2017","Dairy Margin Coverage","","","No",""
"USDA","2021","Dairy Margin Coverage","","","No",""
"USDA","2022","Dairy Margin Coverage","","","No",""
"USDA","2023","Dairy Margin Coverage","0","","Yes","No"
"USDA","2024","Dairy Margin Coverage","0","","No","No"
"USDA","2025","Dairy Margin Coverage","","","No","No"
"USDA","2021","Dairy Margin Coverage Program","","","No",""
"USDA","2022","Dairy Margin Coverage Program","","","No",""
"USDA","2023","Dairy Margin Coverage Program","","","Yes","No"
"USDA","2024","Dairy Margin Coverage Program","","","No","No"
"USDA","2025","Dairy Margin Coverage Program","","","No","No"
"USDA","2017","Department Administration (DA) Agriculture Buildings and Facilities","","","No",""
"USDA","2021","Department Administration (DA) Agriculture Buildings and Facilities","","","No",""
"USDA","2022","Department Administration (DA) Agriculture Buildings and Facilities","","","No",""
"USDA","2023","Department Administration (DA) Agriculture Buildings and Facilities","0","","Yes","No"
"USDA","2024","Department Administration (DA) Agriculture Buildings and Facilities","0","","No","No"
"USDA","2025","Department Administration (DA) Agriculture Buildings and Facilities","","","No","No"
"USDA","2017","Department Administration (DA) Biobased Markets Program","","","No",""
"USDA","2021","Department Administration (DA) Biobased Markets Program","","","No",""
"USDA","2022","Department Administration (DA) Biobased Markets Program","","","No",""
"USDA","2023","Department Administration (DA) Biobased Markets Program","","","No",""
"USDA","2017","Department Administration (DA) Hazardous Materials Management","","","No",""
"USDA","2021","Department Administration (DA) Hazardous Materials Management","","","No",""
"USDA","2022","Department Administration (DA) Hazardous Materials Management","","","No",""
"USDA","2023","Department Administration (DA) Hazardous Materials Management","","","No",""
"USDA","2024","Department Administration (DA) Hazardous Materials Management","","","No",""
"USDA","2025","Department Administration (DA) Hazardous Materials Management","","","No",""
"USDA","2014","Direct and Counter-Cyclical Payment Program (DCP)","","","Yes","No"
"USDA","2017","Direct and Counter-Cyclical Payment Program (DCP)","","","No","No"
"USDA","2018","Direct and Counter-Cyclical Payment Program (DCP)","","","No","No"
"USDA","2019","Direct and Counter-Cyclical Payment Program (DCP)","","","No","No"
"USDA","2020","Direct and Counter-Cyclical Payment Program (DCP)","","","No","No"
"USDA","2021","Direct and Counter-Cyclical Payment Program (DCP)","","","No","No"
"USDA","2021","Disaster Relief","","","No",""
"USDA","2021","Disaster Relief - Capital Improvement and Maintenance","","","No",""
"USDA","2021","Disaster Relief - Commodity Assistance Program","","","No",""
"USDA","2021","Disaster Relief - Law Enforcement","","","No",""
"USDA","2021","Disaster Relief - NOAA Hurricane Sandy","","","No",""
"USDA","2021","Disaster Relief - Prisons & Detention","","","No",""
"USDA","2018","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","","","No",""
"USDA","2021","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","","No","Yes","No"
"USDA","2022","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","","","No","No"
"USDA","2023","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","0","","Yes","No"
"USDA","2024","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","0","","No","No"
"USDA","2025","Emergency Assistance for Livestock, Honeybees and Farm-Raised Fish Program","","","No","No"
"USDA","2017","Emergency Conservation Program","","","No",""
"USDA","2018","Emergency Conservation Program","","","No",""
"USDA","2019","Emergency Conservation Program","","","No",""
"USDA","2020","Emergency Conservation Program","","","No",""
"USDA","2021","Emergency Conservation Program","","","Yes","Yes"
"USDA","2022","Emergency Conservation Program","","","Yes","Yes"
"USDA","2023","Emergency Conservation Program","0","","Yes","Yes"
"USDA","2024","Emergency Conservation Program","0","","Yes","Yes"
"USDA","2025","Emergency Conservation Program","0","","Yes","Yes"
"USDA","2025","Emergency Food Assistance Program (Administrative Costs)","","","No",""
"USDA","2017","Emergency Food Assistance Program (Food Commodities)","","","No",""
"USDA","2018","Emergency Food Assistance Program (Food Commodities)","","","No",""
"USDA","2019","Emergency Food Assistance Program (Food Commodities)","","","No",""
"USDA","2020","Emergency Food Assistance Program (Food Commodities)","","","Yes","No"
"USDA","2021","Emergency Food Assistance Program (Food Commodities)","","","Yes","No"
"USDA","2022","Emergency Food Assistance Program (Food Commodities)","","","No","No"
"USDA","2023","Emergency Food Assistance Program (Food Commodities)","0","","No","No"
"USDA","2024","Emergency Food Assistance Program (Food Commodities)","0","","Yes","No"
"USDA","2025","Emergency Food Assistance Program (Food Commodities)","","","No","No"
"USDA","2024","Emergency Grain Storage Facility Program","0","","Yes","No"
"USDA","2025","Emergency Grain Storage Facility Program","","","No","No"
"USDA","2024","Emergency Livestock Relief Program","0","","No",""
"USDA","2025","Emergency Livestock Relief Program","","","No",""
"USDA","2025","Emergency Livestock Relief Program 2022","","","No",""
"USDA","2025","Emergency Livestock Relief Program 2023 and 2024","","","No",""
"USDA","2023","Emergency Relief Program","0","","Yes","No"
"USDA","2024","Emergency Relief Program","0","","No","No"
"USDA","2025","Emergency Relief Program","","","No","No"
"USDA","2023","Emergency Relief Program 2022","","","Yes","No"
"USDA","2025","Emergency Relief Program 2022","","","No","No"
"USDA","2025","Emergency Relief Program Outreach Education and Technical Assistance","","","No",""
"USDA","2021","Emergency Watershed Protection Program","","No","No",""
"USDA","2022","Emergency Watershed Protection Program","0","No","No",""
"USDA","2023","Emergency Watershed Protection Program","0","","Yes","No"
"USDA","2024","Emergency Watershed Protection Program","0","","No","No"
"USDA","2025","Emergency Watershed Protection Program","","","No","No"
"USDA","2023","Emergency Watershed Protection Program – Disaster Relief Appropriations Act","","","Yes","No"
"USDA","2025","Emergency Watershed Protection Program – Disaster Relief Appropriations Act","","","No","No"
"USDA","2023","Emergency Watershed Protection Program – Floodplain Easements & Disaster Relief Appropriations Act","","","Yes","No"
"USDA","2025","Emergency Watershed Protection Program – Floodplain Easements & Disaster Relief Appropriations Act","","","No","No"
"USDA","2018","Emerging Markets Program","","","No",""
"USDA","2021","Emerging Markets Program","","No","No",""
"USDA","2022","Emerging Markets Program","","","No",""
"USDA","2023","Emerging Markets Program","0","","No",""
"USDA","2024","Emerging Markets Program","0","","Yes","No"
"USDA","2025","Emerging Markets Program","","","No","No"
"USDA","2024","Environmental Quality Incentives Program","","","Yes","No"
"USDA","2025","Environmental Quality Incentives Program","","","No","No"
"USDA","2017","Export Guarantee Program","","","No",""
"USDA","2021","Export Guarantee Program","","","No",""
"USDA","2022","Export Guarantee Program","","","No",""
"USDA","2023","Export Guarantee Program","","","No",""
"USDA","2024","Export Guarantee Program","","","No",""
"USDA","2025","Export Guarantee Program","","","No",""
"USDA","2018","Extension Activities","","","No",""
"USDA","2021","Extension Activities","","No","Yes","No"
"USDA","2022","Extension Activities","","","No","No"
"USDA","2023","Extension Activities","0","","No","No"
"USDA","2024","Extension Activities","0","","Yes","No"
"USDA","2025","Extension Activities","","","No","No"
"USDA","2025","Faculty Exchange Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) 220 Block Grants","","","No",""
"USDA","2021","Farm Service Agency (FSA) Agricultural Credit Insurance Fund-Program Account (ACIF)","","","Yes","No"
"USDA","2022","Farm Service Agency (FSA) Agricultural Credit Insurance Fund-Program Account (ACIF)","","","No","No"
"USDA","2023","Farm Service Agency (FSA) Agricultural Credit Insurance Fund-Program Account (ACIF)","","","No","No"
"USDA","2024","Farm Service Agency (FSA) Agricultural Credit Insurance Fund-Program Account (ACIF)","","","Yes","No"
"USDA","2024","Farm Service Agency (FSA) Boll Weevil Eradication Loan Program","","","Yes","No"
"USDA","2025","Farm Service Agency (FSA) Boll Weevil Eradication Loan Program","","","No","No"
"USDA","2025","Farm Service Agency (FSA) Commodity Container Assistance Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Commodity Storage Assistance Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Conservation Reserve Program Transition Incentive Program: Outreach, Technical Assistance, and Research Agreements","","","No",""
"USDA","2025","Farm Service Agency (FSA) Discrimination Financial Assistance Program","0","","Yes","No"
"USDA","2025","Farm Service Agency (FSA) DSA COVID Relief Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Emergency Commodity Assistance Program","","","No",""
"USDA","2016","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","Yes","No"
"USDA","2017","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","No","No"
"USDA","2018","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","No","No"
"USDA","2019","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","No","No"
"USDA","2020","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","No","No"
"USDA","2021","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","No","No"
"USDA","2022","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","No","No"
"USDA","2023","Farm Service Agency (FSA) Emergency Forest Restoration Program","0","","Yes","No"
"USDA","2024","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","No","No"
"USDA","2025","Farm Service Agency (FSA) Emergency Forest Restoration Program","","","No","No"
"USDA","2024","Farm Service Agency (FSA) Emergency Loans","","","Yes","No"
"USDA","2025","Farm Service Agency (FSA) Emergency Loans","","","No","No"
"USDA","2025","Farm Service Agency (FSA) Farm Labor Stabilization and Protection Pilot Grant Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Farm Loan Borrower Relief Program","","","No",""
"USDA","2024","Farm Service Agency (FSA) Farm Operating Loans and Loan Guarantees","","","Yes","No"
"USDA","2025","Farm Service Agency (FSA) Farm Operating Loans and Loan Guarantees","","","No","No"
"USDA","2024","Farm Service Agency (FSA) Farm Ownership Loans and Loan Guarantees","","","Yes","No"
"USDA","2025","Farm Service Agency (FSA) Farm Ownership Loans and Loan Guarantees","","","No","No"
"USDA","2025","Farm Service Agency (FSA) Farm Service Agency Taxpayer Outreach Education and Technical Assistance (American Rescue Plan Assistance)","","","No",""
"USDA","2025","Farm Service Agency (FSA) Food Safety Certification for Specialty Crops Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Grassland Reserve Program (previously a NRCS program)","","","No",""
"USDA","2017","Farm Service Agency (FSA) Grassroots Source Water Protection Program","","","No",""
"USDA","2021","Farm Service Agency (FSA) Grassroots Source Water Protection Program","","","No",""
"USDA","2022","Farm Service Agency (FSA) Grassroots Source Water Protection Program","","","No",""
"USDA","2023","Farm Service Agency (FSA) Grassroots Source Water Protection Program","","","No",""
"USDA","2024","Farm Service Agency (FSA) Grassroots Source Water Protection Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Grassroots Source Water Protection Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Increasing Land, Capital, and Market Access Program","","","No",""
"USDA","2024","Farm Service Agency (FSA) Indian Tribes and Tribal Corporation Loans","","","Yes","No"
"USDA","2025","Farm Service Agency (FSA) Indian Tribes and Tribal Corporation Loans","","","No","No"
"USDA","2025","Farm Service Agency (FSA) Milk Loss Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Organic and Transitional Education and Certification Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Organic Certification Cost Share Programs","","","No",""
"USDA","2025","Farm Service Agency (FSA) Organic Dairy Marketing Assistance Program","","","No",""
"USDA","2025","Farm Service Agency (FSA) Outreach Education and Technical Assistance","","","No",""
"USDA","2025","Farm Service Agency (FSA) Outreach Education and Technical Assistance for Disaster Assistance Programs","","","No",""
"USDA","2025","Farm Service Agency (FSA) Pandemic Assistance Revenue Program","","","No",""
"USDA","2018","Farm Service Agency (FSA) Salaries and Expenses","","","No",""
"USDA","2021","Farm Service Agency (FSA) Salaries and Expenses","","No","Yes","No"
"USDA","2022","Farm Service Agency (FSA) Salaries and Expenses","","","No","No"
"USDA","2023","Farm Service Agency (FSA) Salaries and Expenses","0","","No","No"
"USDA","2024","Farm Service Agency (FSA) Salaries and Expenses","0","","Yes","No"
"USDA","2025","Farm Service Agency (FSA) Salaries and Expenses","","","No","No"
"USDA","2025","Farm Service Agency (FSA) Seafood Trade Relief Program (STRP)","","","No",""
"USDA","2025","Farm Service Agency (FSA) Testing, Mitigation, and Relief for Agricultural Contamination by Per- and Polyfluoroalkyl Substances","","","No",""
"USDA","2025","Farm Service Agency (FSA) Texas 1944 Water Treaty Grant","","","No",""
"USDA","2025","Farm Service Agency (FSA) Urban Agriculture and Urban County Committee Outreach, Technical Assistance, and Education","","","No",""
"USDA","2017","Farm Storage Facility Loans","","","No",""
"USDA","2021","Farm Storage Facility Loans","","","No",""
"USDA","2022","Farm Storage Facility Loans","","","No",""
"USDA","2023","Farm Storage Facility Loans","0","","Yes","No"
"USDA","2024","Farm Storage Facility Loans","0","","No","No"
"USDA","2025","Farm Storage Facility Loans","","","No","No"
"USDA","2025","Farm to School Grant Program","","","No",""
"USDA","2025","Farm to School State Formula Grant","","","No",""
"USDA","2025","Farmer’s Market Supplemental Nutrition Assistance Program Support Grants","","","No",""
"USDA","2011","Federal Crop Insurance Corporation (FCIC)","","","Yes","Yes"
