"Agency","Program Name","Assistance Listing Number"
"TREASURY","Departmental Offices - State Small Business Credit Initiative- Technical Assistance Grant Program","21.031"
"TREASURY","Departmental Offices- State Small Business Credit Initiative- Competitive Technical Assistance","21.034"
"TREASURY","Internal Revenue Service - Taxpayer Services- Exchange of Federal Information with State Agencies","21.004"
"TREASURY","Internal Revenue Service - Taxpayer Services- Tax Counseling for the Elderly","21.006"
"TREASURY","Internal Revenue Service - Taxpayer Services- Lower Income Taxpayer Clinics","21.008"
"TREASURY","Internal Revenue Service - Taxpayer Services- Volunteer Income Tax Assistance Matching Grant Program","21.009"
"TREASURY","Community Development Financial Institutions - Emergency Support Program - Rapid Response Program","21.024"
"TREASURY","Community Development Financial Institutions - Emergency Support Program - Equitable Recovery Program","21.033"
"TREASURY","Departmental Offices - Coronavirus Capital Projects Fund","21.029"
"TREASURY","Departmental Offices - Emergency Capital Investment Fund","21.03"
"TREASURY","Departmental Offices - Emergency Rental Assistance","21.023"
"TREASURY","Departmental Offices - Homeowners Assistance Fund","21.026"
"TREASURY","Departmental Offices - Local Assistance and Tribal Consistency Fund","21.032"
"TREASURY","Departmental Offices - Transportation Services Economic Relief","21.028"
"TREASURY","Departmental Offices - Treasury Forfeiture Fund- Equitable Sharing ","21.016"
"TREASURY","Fiscal Service- Gulf Coast Restoration Trust Fund- Resources and Ecosystems Sustainability, Tourist Opportunities, and Revived Economies of the Gulf Coast States","21.015"
"TREASURY","Internal Revenue Service - Additional Child Tax Credit","TC.142"
"TREASURY","Internal Revenue Service - American Opportunity Tax Credit","TC.104"
"TREASURY","Internal Revenue Service - Build American Bond Payments, Recovery Act","TC.099"
"TREASURY","Internal Revenue Service - Build American Bond Payments, Recovery Act","TC.172"
"TREASURY","Internal Revenue Service - Child and Dependent Care Tax Credit","TC.123"
"TREASURY","Internal Revenue Service - Child and Dependent Care Tax Credit","TC.142"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","TC.163"
"TREASURY","Internal Revenue Service - Earned Income Tax Credit","TC.163"
"TREASURY","Internal Revenue Service - Payment to Issuer of New Clean Renewable Energy Bonds","TC.021"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified Energy Conservation Bond","TC.019"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified School Construction Bonds","TC.116"
"TREASURY","Internal Revenue Service - Payment to Issuer of Qualified Zone Academy Bonds","TC.109"
"TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","TC.135"
"TREASURY","Internal Revenue Service - Refundable Premium Assistance Tax Credit","TC.135"
"TREASURY","Internal Revenue Service - US Coronavirus Refundable Credits","TC.164"
"TREASURY","Community Development Financial Institutions Fund - CDFI Program Loan ","21.035"
"TREASURY","Internal Revenue Service - Advanced Manufacturing Investment Credit","TC.087"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.022"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.023"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.025"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.029"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.030"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.032"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.038"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.039"
"TREASURY","Internal Revenue Service - Elective Payment for Energy Prop and Electricity Produced","TC.046"
"TREASURY","Exclusion of benefits and allowances to armed forces personnel","TC.001"
"TREASURY","Exclusion of income earned abroad by U.S. citizens","TC.002"
"TREASURY","Exclusion of certain allowances for Federal employees abroad","TC.003"
"TREASURY","Reduced tax rate on active income of controlled foreign corporations (normal tax method)","TC.004"
"TREASURY","Deduction for foreign-derived intangible income derived from trade or business within the United States","TC.005"
"TREASURY","Interest Charge Domestic International Sales Corporations (IC-DISCs)","TC.006"
"TREASURY","Expensing of research and experimentation expenditures (normal tax method)","TC.007"
"TREASURY","Credit for increasing research activities","TC.008"
"TREASURY","Expensing of exploration and development costs, oil and gas","TC.009"
"TREASURY","Expensing of exploration and development costs, coal","TC.010"
"TREASURY","Excess of percentage over cost depletion, oil and gas","TC.011"
"TREASURY","Excess of percentage over cost depletion, coal","TC.012"
"TREASURY","Exception from passive loss limitation for working interests in oil and gas properties","TC.013"
"TREASURY","Enhanced oil recovery credit","TC.014"
"TREASURY","Marginal wells credit","TC.015"
"TREASURY","Amortize all geological and geophysical expenditures over 2 years","TC.016"
"TREASURY","Capital gains treatment of royalties on coal","TC.017"
"TREASURY","Exclusion of interest on energy facility bonds","TC.018"
"TREASURY","Exclusion of utility conservation subsidies","TC.020"
"TREASURY","Advanced nuclear power production credit","TC.024"
"TREASURY","Reduced tax rate for nuclear decommissioning funds","TC.026"
"TREASURY","Alcohol fuel credits","TC.027"
"TREASURY","Bio-Diesel and small agri-biodiesel producer tax credits","TC.028"
"TREASURY","Tax credits for clean-fuel burning vehicles and refueling property","TC.033"
"TREASURY","Allowance of deduction for certain energy efficient commercial building property","TC.034"
"TREASURY","Credit for construction of new energy efficient homes","TC.035"
"TREASURY","Credit for energy efficiency improvements to existing homes","TC.036"
"TREASURY","Credit for residential energy efficient property","TC.037"
"TREASURY","Expensing of exploration and development costs, nonfuel minerals","TC.040"
"TREASURY","Excess of percentage over cost depletion, nonfuel minerals","TC.041"
"TREASURY","Exclusion of interest on bonds for water, sewage, and hazardous waste facilities","TC.042"
"TREASURY","Capital gains treatment of certain timber income","TC.043"
"TREASURY","Expensing of multiperiod timber growing costs","TC.044"
"TREASURY","Tax incentives for preservation of historic structures","TC.045"
"TREASURY","Deduction for endangered species recovery expenditures","TC.047"
"TREASURY","Expensing of certain capital outlays","TC.048"
"TREASURY","Expensing of certain multiperiod production costs","TC.049"
"TREASURY","Treatment of loans forgiven for solvent farmers","TC.050"
"TREASURY","Capital gains treatment of certain agriculture income","TC.051"
"TREASURY","Income averaging for farmers","TC.052"
"TREASURY","Deferral of gain on sale of farm refiners","TC.053"
"TREASURY","Expensing of reforestation expenditures","TC.054"
"TREASURY","Exemption of credit union income","TC.055"
"TREASURY","Exclusion of life insurance death benefits","TC.056"
"TREASURY","Exemption or special alternative tax for small property and casualty insurance companies","TC.057"
"TREASURY","Tax exemption of insurance income earned by tax-exempt organizations","TC.058"
"TREASURY","Exclusion of interest spread of financial institutions","TC.059"
"TREASURY","Exclusion of interest on owner-occupied mortgage subsidy bonds","TC.060"
"TREASURY","Exclusion of interest on rental housing bonds","TC.061"
"TREASURY","Deductibility of mortgage interest on owner-occupied homes","TC.062"
"TREASURY","Deductibility of State and local property tax on owner-occupied homes","TC.063"
"TREASURY","Deferral of income from installment sales","TC.064"
"TREASURY","Capital gains exclusion on home sales","TC.065"
"TREASURY","Exclusion of net imputed rental income","TC.066"
"TREASURY","Exception from passive loss rules for $25,000 of rental loss","TC.067"
"TREASURY","Credit for low-income housing investments","TC.068"
"TREASURY","Accelerated depreciation on rental housing (normal tax method)","TC.069"
"TREASURY","Discharge of mortgage indebtedness","TC.070"
"TREASURY","Premiums for mortgage insurance deductible as interest","TC.071"
"TREASURY","Discharge of business indebtedness","TC.072"
"TREASURY","Exceptions from imputed interest rules","TC.073"
"TREASURY","Treatment of qualified dividends","TC.074"
"TREASURY","Capital gains (except agriculture, timber, iron ore, and coal)","TC.075"
"TREASURY","Capital gains exclusion of small corporation stock","TC.076"
"TREASURY","Step-up basis of capital gains at death","TC.077"
"TREASURY","Carryover basis of capital gains on gifts","TC.078"
"TREASURY","Ordinary income treatment of loss from small business corporation stock sale","TC.079"
"TREASURY","Deferral of capital gains from like-kind exchanges","TC.080"
"TREASURY","Depreciation of buildings other than rental housing (normal tax method)","TC.081"
"TREASURY","Accelerated depreciation of machinery and equipment (normal tax method)","TC.082"
"TREASURY","Expensing of certain small investments (normal tax method)","TC.083"
"TREASURY","Exclusion of interest on small issue bonds","TC.084"
"TREASURY","Special rules for certain film and TV production","TC.085"
"TREASURY","Allow 20-percent deduction to certain pass-through income","TC.086"
"TREASURY","Tonnage tax","TC.088"
"TREASURY","Deferral of tax on shipping companies","TC.089"
"TREASURY","Exclusion of reimbursed employee parking expenses","TC.090"
"TREASURY","Exclusion for employer-provided transit passes","TC.091"
"TREASURY","Tax credit for certain expenditures for maintaining railroad tracks","TC.092"
"TREASURY","Exclusion of interest on bonds for Highway Projects and rail-truck transfer facilities","TC.093"
"TREASURY","Exclusion of interest for airport, dock, and similar bonds","TC.094"
"TREASURY","Exemption of certain mutuals' and cooperatives' income","TC.095"
"TREASURY","Empowerment zones","TC.096"
"TREASURY","New markets tax credit","TC.097"
"TREASURY","Credit to holders of Gulf and Midwest Tax Credit Bonds .","TC.098"
"TREASURY","Tribal Economic Development Bonds","TC.100"
"TREASURY","Opportunity Zones","TC.101"
"TREASURY","Disaster employee retention credit","TC.102"
"TREASURY","Exclusion of scholarship and fellowship income (normal tax method)","TC.103"
"TREASURY","Deductibility of student-loan interest","TC.105"
"TREASURY","Qualified tuition programs (includes Education IRA)","TC.106"
"TREASURY","Exclusion of interest on student-loan bonds","TC.107"
"TREASURY","Exclusion of interest on bonds for private nonprofit educational facilities","TC.108"
"TREASURY","Exclusion of interest on savings bonds redeemed to finance educational expenses","TC.110"
"TREASURY","Parental personal exemption for students age 19 or over","TC.111"
"TREASURY","Deductibility of charitable contributions to educational institutions","TC.112"
"TREASURY","Exclusion of employer-provided educational assistance","TC.113"
"TREASURY","Special deduction for teacher expenses","TC.114"
"TREASURY","Discharge of student loan indebtedness","TC.115"
"TREASURY","Work opportunity tax credit","TC.117"
"TREASURY","Employer provided child care exclusion","TC.118"
"TREASURY","Employer-provided child care credit","TC.119"
"TREASURY","Assistance for adopted foster children","TC.120"
"TREASURY","Adoption credit and exclusion","TC.121"
"TREASURY","Exclusion of employee meals and lodging (other than military)","TC.122"
"TREASURY","Credit for disabled access expenditures","TC.124"
"TREASURY","Deductibility of charitable contributions, other than education and health","TC.125"
"TREASURY","Exclusion of certain foster care payments","TC.126"
"TREASURY","Exclusion of parsonage allowances","TC.127"
"TREASURY","Indian employment credit","TC.128"
"TREASURY","Employer-provided paid family and medical leave credit","TC.129"
"TREASURY","Exclusion of employer contributions for medical insurance premiums and medical care","TC.130"
"TREASURY","Self-employed medical insurance premiums","TC.131"
"TREASURY","Medical Savings Accounts / Health Savings Accounts","TC.132"
"TREASURY","Deductibility of medical expenses","TC.133"
"TREASURY","Exclusion of interest on hospital construction bonds","TC.134"
"TREASURY","Credit for employee health insurance expenses of small business","TC.136"
"TREASURY","Deductibility of charitable contributions to health institutions","TC.137"
"TREASURY","Tax credit for orphan drug research","TC.138"
"TREASURY","Special Blue Cross/Blue Shield tax benefits","TC.139"
"TREASURY","Distributions from retirement plans for premiums for health and long-term care insurance","TC.140"
"TREASURY","Credit for family and sick leave taken by self-employed individuals","TC.141"
"TREASURY","Other Dependent Tax Credit","TC.143"
"TREASURY","Exclusion of railroad retirement (Social Security equivalent) benefits","TC.144"
"TREASURY","Exclusion of workers' compensation benefits","TC.145"
"TREASURY","Exclusion of public assistance benefits (normal tax method)","TC.146"
"TREASURY","Exclusion of special benefits for disabled coal miners","TC.147"
"TREASURY","Exclusion of military disability pensions","TC.148"
"TREASURY","Net exclusion of pension contributions and earnings: Defined benefit employer plans","TC.149"
"TREASURY","Net exclusion of pension contributions and earnings: Defined contribution employer plans","TC.150"
"TREASURY","Net exclusion of pension contributions and earnings: Individual Retirement Accounts","TC.151"
"TREASURY","Net exclusion of pension contributions and earnings: Low and moderate income savers credit","TC.152"
"TREASURY","Net exclusion of pension contributions and earnings: Self-Employed plans","TC.153"
"TREASURY","Small employer pension plan startup credit","TC.154"
"TREASURY","Exclusion of other employee benefits: Premiums on group term life insurance","TC.155"
"TREASURY","Exclusion of other employee benefits: Premiums on accident and disability insurance","TC.156"
"TREASURY","Income of trusts to finance supplementary unemployment benefits","TC.157"
"TREASURY","Income of trusts to finance voluntary employee benefits associations","TC.158"
"TREASURY","Special Employee Stock Ownership Plan (ESOP) rules","TC.159"
"TREASURY","Additional deduction for the blind","TC.160"
"TREASURY","Additional deduction for the elderly","TC.161"
"TREASURY","Deductibility of casualty losses","TC.162"
"TREASURY","Exclusion of social security benefits: Social Security benefits for retired and disabled workers and spouses, dependents and survivors","TC.165"
"TREASURY","Exclusion of social security benefits: Credit for certain employer contributions to social security","TC.166"
"TREASURY","Exclusion of veterans death benefits and disability compensation","TC.167"
"TREASURY","Exclusion of veterans pensions","TC.168"
"TREASURY","Exclusion of GI bill benefits","TC.169"
"TREASURY","Exclusion of interest on veterans housing bonds","TC.170"
"TREASURY","Exclusion of interest on public purpose State and local bonds","TC.171"
"TREASURY","Deductibility of nonbusiness State and local taxes other than on owner-occupied homes","TC.173"
"TREASURY","Deferral of interest on U.S. savings bonds","TC.174"
"TREASURY","Internal Revenue Service - Clean Vehicle Credit","TC.031"
"USAGM","Middle East Broadcasting Networks (MBN/MN)","90.5"
"USAGM","Open Technology Fund (OTF)","90.5"
"USAGM","Radio Free Asia (RFA)","90.5"
"USAGM","Radio Free Europe (RFE/RL)","90.5"
"USAGM","Frontline Media Fund (FMF)","90.5"
"USDA","Agricultural Marketing Service (AMS) - Acer Access Development Program","10.174"
"USDA","Agricultural Marketing Service (AMS) - Dairy Business Innovation Initiatives","10.176"
"USDA","Agricultural Marketing Service (AMS) - Farmers Market and Local Food Promotion Program","10.175"
"USDA","Agricultural Marketing Service (AMS) - Federal-State Marketing Improvement Program","10.156"
"USDA","Agricultural Marketing Service (AMS) - Inspection Grading and Standardization","10.162"
"USDA","Agricultural Marketing Service (AMS) - Local Food for Schools Cooperative Agreement Program","10.185"
"USDA","Agricultural Marketing Service (AMS) - Local Food Purchase Agreements with States, Tribes, and Local Governments","10.182"
"USDA","Agricultural Marketing Service (AMS) - Local Meat Capacity Grants","10.189"
"USDA","Agricultural Marketing Service (AMS) - Market News","10.153"
"USDA","Agricultural Marketing Service (AMS) - Market Protection and Promotion","10.163"
"USDA","Agricultural Marketing Service (AMS) - Marketing  Agreements ad Orders","10.155"
"USDA","Agricultural Marketing Service (AMS) - Meat and Poultry Inspection Readiness Grants - Supplemental Funding","10.18"
"USDA","Agricultural Marketing Service (AMS) - Micro-Grants for Food Security Program","10.179"
"USDA","Agricultural Marketing Service (AMS) - Organic Market Development Grant (OMDG) Program","10.188"
"USDA","Agricultural Marketing Service (AMS) - Pandemic Market Volatlity Assistance Program","10.183"
"USDA","Agricultural Marketing Service (AMS) - Pandemic Relief Activities: Farm and Food Worker Relief Grant Program","10.181"
"USDA","Agricultural Marketing Service (AMS) - Pandemic Relief Activities: Meat and Poultry Processing Capacity - Technical Assistance Grants","10.184"
"USDA","Agricultural Marketing Service (AMS) - Perishable Agricultural Commodities Act","10.165"
"USDA","Agricultural Marketing Service (AMS) - Regional Food Business Centers","10.186"
"USDA","Agricultural Marketing Service (AMS) - Regional Food System Partnerships","10.177"
"USDA","Agricultural Marketing Service (AMS) - Resilient Food System Infrastructure Program","10.19"
"USDA","Agricultural Marketing Service (AMS) - Sheep Production and Marketing Grant Program","10.173"
"USDA","Agricultural Marketing Service (AMS) - Specialty Crop Block Grant Program - Farm Bill","10.17"
"USDA","Agricultural Marketing Service (AMS) - Transportation Services","10.167"
"USDA","Agricultural Marketing Service (AMS) - Wholesale Farmers and Alternative Market Development","10.164"
"USDA","Pandemic Assistance for Cotton Merchandisers","10.191"
"USDA","TEFAP CCC Eligible Recipient Funds","10.187"
"USDA","Dairy Margin Coverage Program","10.135"
"USDA","CNMI Nutrition Assistance","10.539"
"USDA","National School Lunch Program","10.555"
"USDA","WIC Special Supplemental Nutrition Program for Women, Infants, and Children","10.557"
"USDA","FS-02 National Forest System","10.704"
"USDA","FS-02 National Forest System","10.701"
"USDA","FS-02 National Forest System","10.705"
"USDA","FS-02 National Forest System","10.711"
"USDA","FS-02 National Forest System","10.684"
"USDA","FS-02 National Forest System","10.693"
"USDA","FS-02 National Forest System","10.683"
"USDA","FS-02 National Forest System","10.691"
"USDA","FS-02 National Forest System","10.682"
"USDA","FS-02 National Forest System","10.699"
"USDA","FS-02 National Forest System","10.708"
"USDA","FS-02 National Forest System","10.697"
"USDA","FS-02 National Forest System","10.674"
"USDA","FS-02 National Forest System","10.681"
"USDA","FS-02 National Forest System","10.718"
"USDA","FS-02 National Forest System","10.664"
"USDA","FS-02 National Forest System","10.698"
"USDA","FS-02 National Forest System","10.707"
"USDA","FS-05 State, Private, and Tribal Forestry","10.69"
"USDA","FS-05 State, Private, and Tribal Forestry","10.675"
"USDA","FS-05 State, Private, and Tribal Forestry","10.678"
"USDA","FS-05 State, Private, and Tribal Forestry","10.68"
"USDA","FS-05 State, Private, and Tribal Forestry","10.689"
"USDA","FS-05 State, Private, and Tribal Forestry","10.723"
"USDA","FS-05 State, Private, and Tribal Forestry","10.726"
"USDA","FS-05 State, Private, and Tribal Forestry","10.73"
"USDA","FS-05 State, Private, and Tribal Forestry","10.674"
"USDA","FS-05 State, Private, and Tribal Forestry","10.681"
"USDA","FS-05 State, Private, and Tribal Forestry","10.694"
"USDA","FS-05 State, Private, and Tribal Forestry","10.664"
"USDA","FS-05 State, Private, and Tribal Forestry","10.72"
"USDA","FS-05 State, Private, and Tribal Forestry","10.725"
"USDA","FS-05 State, Private, and Tribal Forestry","10.684"
"USDA","FS-05 State, Private, and Tribal Forestry","10.693"
"USDA","FS-05 State, Private, and Tribal Forestry","10.698"
"USDA","FS-05 State, Private, and Tribal Forestry","10.732"
"USDA","FS-05 State, Private, and Tribal Forestry","10.737"
"USDA","FS-05 State, Private, and Tribal Forestry","10.683"
"USDA","FS-05 State, Private, and Tribal Forestry","10.691"
"USDA","FS-05 State, Private, and Tribal Forestry","10.707"
"USDA","FS-05 State, Private, and Tribal Forestry","10.714"
"USDA","FS-05 State, Private, and Tribal Forestry","10.682"
"USDA","FS-05 State, Private, and Tribal Forestry","10.699"
"USDA","FS-03 Wildland Fire Management","10.703"
"USDA","FS-03 Wildland Fire Management","10.711"
"USDA","FS-03 Wildland Fire Management","10.698"
"USDA","FS-03 Wildland Fire Management","10.691"
"USDA","FS-03 Wildland Fire Management","10.699"
"USDA","Extension Activities","10.318"
"USDA","Extension Activities","10.328"
"USDA","Extension Activities","10.334"
"USDA","Extension Activities","10.511"
"USDA","Extension Activities","10.512"
"USDA","Extension Activities","10.513"
"USDA","Extension Activities","10.514"
"USDA","Extension Activities","10.515"
"USDA","Extension Activities","10.516"
"USDA","Extension Activities","10.518"
"USDA","Extension Activities","10.521"
"USDA","Extension Activities","10.522"
"USDA","Extension Activities","10.525"
"USDA","Extension Activities","10.52"
"USDA","Integrated Activities","10.303"
"USDA","Integrated Activities","10.304"
"USDA","Integrated Activities","10.309"
"USDA","Integrated Activities","10.329"
"USDA","Research & Education Activities","10.226"
"USDA","Research & Education Activities","10.203"
"USDA","Research & Education Activities","10.207"
"USDA","Research & Education Activities","10.21"
"USDA","Research & Education Activities","10.215"
"USDA","Research & Education Activities","10.216"
"USDA","Research & Education Activities","10.217"
"USDA","Research & Education Activities","10.22"
"USDA","Research & Education Activities","10.223"
"USDA","Research & Education Activities","10.227"
"USDA","Research & Education Activities","10.233"
"USDA","Research & Education Activities","10.245"
"USDA","Research & Education Activities","10.246"
"USDA","Research & Education Activities","10.31"
"USDA","Research & Education Activities","10.313"
"USDA","Research & Education Activities","10.319"
"USDA","Research & Education Activities","10.32"
"USDA","Research & Education Activities","10.322"
"USDA","Research & Education Activities","10.326"
"USDA","Research & Education Activities","10.33"
"USDA","Research & Education Activities","10.332"
"USDA","Research & Education Activities","10.336"
"USDA","Research & Education Activities","10.523"
"USDA","Research & Education Activities","10.524"
"USDA","Research & Education Activities","10.527"
"USDA","Water Bank Program","10.929"
"USDA","Federal Crop Insurance Corporation (FCIC)","10.45"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.351"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.352"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.377"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.381"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.382"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.754"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.771"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.854"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.871"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.872"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.175"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.782"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.868"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.87"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.755"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.782"
"USDA","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs","10.768"
"USDA","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs","10.768"
"USDA","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs","10.868"
"USDA","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs","10.865"
"USDA","Rural Business-Cooperative Service (RBCS) Payment Assistance","10.378"
"USDA","Rural Business-Cooperative Service (RBCS) Payment Assistance","10.867"
"USDA","Dairy Margin Coverage","10.127"
"USDA","FS-12 Management of National Forest Lands for Subsistence Uses","10.702"
"USDA","Livestock Forage Disaster Program","10.089"
"USDA","Research & Education Activities; Integrated Activities","10.212"
"USDA","Research & Education Activities; Integrated Activities","10.219"
"USDA","Research & Education Activities; Integrated Activities","10.212"
"USDA","Research & Education Activities; Integrated Activities","10.219"
"USDA","Wetland Mitigation Banking Program","10.933"
"USDA","FS-03 Wildland Fire Management","10.679"
"USDA","FS-03 Wildland Fire Management","10.694"
"USDA","FS-03 Wildland Fire Management","10.716"
"USDA","FS-03 Wildland Fire Management","10.722"
"USDA","FS-03 Wildland Fire Management","10.729"
"USDA","FS-03 Wildland Fire Management","10.664"
"USDA","FS-03 Wildland Fire Management","10.693"
"USDA","FS-03 Wildland Fire Management","10.724"
"USDA","FS-03 Wildland Fire Management","10.732"
"USDA","FS-03 Wildland Fire Management","10.737"
"USDA","FS-03 Wildland Fire Management","10.683"
"USDA","FS-03 Wildland Fire Management","10.707"
"USDA","FS-03 Wildland Fire Management","10.714"
"USDA","FS-03 Wildland Fire Management","10.682"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program","10.558"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program","10.558"
"USDA","Food and Nutrition Service (FNS) Child and Adult Care Food Program","10.558"
"USDA","FS-02 National Forest System","10.715"
"USDA","FS-02 National Forest System","10.717"
"USDA","FS-02 National Forest System","10.733"
"USDA","FS-02 National Forest System","10.735"
"USDA","FS-02 National Forest System","10.716"
"USDA","FS-02 National Forest System","10.722"
"USDA","FS-02 National Forest System","10.725"
"USDA","FS-02 National Forest System","10.729"
"USDA","FS-02 National Forest System","10.724"
"USDA","FS-02 National Forest System","10.732"
"USDA","FS-02 National Forest System","10.737"
"USDA","FS-02 National Forest System","10.714"
"USDA","FS-02 National Forest System","10.679"
"USDA","FS-05 State, Private, and Tribal Forestry","10.676"
"USDA","FS-05 State, Private, and Tribal Forestry","10.719"
"USDA","FS-05 State, Private, and Tribal Forestry","10.721"
"USDA","FS-05 State, Private, and Tribal Forestry","10.727"
"USDA","FS-05 State, Private, and Tribal Forestry","10.728"
"USDA","FS-05 State, Private, and Tribal Forestry","10.731"
"USDA","FS-05 State, Private, and Tribal Forestry","10.734"
"USDA","FS-05 State, Private, and Tribal Forestry","10.736"
"USDA","Integrated Activities","10.239"
"USDA","Integrated Activities","10.247"
"USDA","Integrated Activities","10.305"
"USDA","Integrated Activities","10.307"
"USDA","Integrated Activities","10.333"
"USDA","Outreach and Assistance for Socially Disadvantaged and Veteran Farmers and Ranchers","10.443"
"USDA","Socially Disadvantaged Farmers and Ranchers Policy Research Center","10.464"
"USDA","Watershed Protection and Flood Prevention","10.904"
"USDA","Watershed Rehabilitation Program","10.916"
"USDA","Emergency Watershed Protection Program","10.923"
"USDA","Emergency Watershed Protection Program – Disaster Relief Appropriations Act","10.927"
"USDA","Emergency Watershed Protection Program – Floodplain Easements & Disaster Relief Appropriations Act","10.928"
"USDA","Emergency Relief Program","10.964"
"USDA","Emergency Relief Program 2022","10.979"
"USDA","Emerging Markets Program","10.603"
"USDA","Foreign Market Development Cooperator Program","10.6"
"USDA","Market Access Program","10.601"
"USDA","Quality Samples Program","10.605"
"USDA","Regional Agricultural Promotion Program","10.618"
"USDA","Technical Assistance for Specialty Crops Program","10.604"
"USDA","Wildlife Services","10.028"
"USDA","Conservation Outreach, Education and Technical Assistance","10.938"
"USDA","Soil and Water Conservation","10.902"
"USDA","Agricultural Conservation Easement Program","10.931"
"USDA","Conservation Stewardship Program","10.924"
"USDA","Environmental Quality Incentives Program","10.912"
"USDA","Feral Swine Eradication and Control Pilot Program","10.934"
"USDA","Regional Conservation Partnership Program","10.932"
"USDA","Voluntary Public Access and Habitat Incentive Program","10.093"
"USDA","Emergency Livestock Relief Program","10.148"
"USDA","Emergency Livestock Relief Program 2022","10.98"
"USDA","Coronavirus Food Assistance Program 1","10.13"
"USDA","Coronavirus Food Assistance Program 2","10.132"
"USDA","Conservation Loans","10.099"
"USDA","Farm Service Agency (FSA) Boll Weevil Eradication Loan Program","10.449"
"USDA","Farm Service Agency (FSA) Emergency Loans","10.404"
"USDA","Farm Service Agency (FSA) Farm Operating Loans and Loan Guarantees","10.406"
"USDA","Farm Service Agency (FSA) Farm Ownership Loans and Loan Guarantees","10.407"
"USDA","Farm Service Agency (FSA) Indian Tribes and Tribal Corporation Loans","10.421"
"USDA","Heirs’ Property Relending Program","10.128"
"USDA","Plant and Animal Disease, Pest Control, and Animal Care","10.025"
"USDA","Plant and Animal Disease, Pest Control, and Animal Care","10.025"
"USDA","WIC Special Supplemental Nutrition Program for Women, Infants, and Children","10.557"
"USDA","WIC Special Supplemental Nutrition Program for Women, Infants, and Children","10.557"
"USDA","National School Lunch Program","10.555"
"USDA","National School Lunch Program","10.555"
"USDA","National School Lunch Program","10.555"
"USDA","National School Lunch Program","10.555"
"USDA","National School Lunch Program","10.555"
"USDA","National School Lunch Program","10.555"
"USDA","National School Lunch Program","10.555"
"USDA","Supplemental Nutrition Assistance Program","10.551"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.383"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.384"
"USDA","Rural Business-Cooperative Service (RBCS) Grant Programs and Cooperative Agreement Programs","10.874"
"USDA","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs","10.38"
"USDA","Rural Business-Cooperative Service (RBCS) Guaranteed Loan Programs","10.385"
"USDA","Extension Activities","10.244"
"USDA","Extension Activities","10.311"
"USDA","Extension Activities","10.331"
"USDA","Extension Activities","10.342"
